Job,Size,Processing Time,Profit,Inventory Cost,Open,Close
1,18.5507507354144,6.96114931151382,10.6989062694145,2.81812947890322,753.961461574096,774.826998508213
2,18.898857199263,12.1264356450505,32.8832279937529,8.56638515661728,579.301150094003,594.642914292182
3,15.2893979970415,8.50355121627389,20.086847607214,5.58736245790692,973.434000767482,985.189713042834
4,12.0434291112494,10.5762162290376,30.2076435111777,7.81883517761551,661.588979137096,670.15105041316
5,11.276956889851,12.2436465592787,34.4336401153851,15.6340313478839,692.867925721293,729.032677335911
6,12.1195832759518,24.9658188997938,36.7298077943722,9.81829030388208,743.198322525794,776.843843108348
7,19.1957616139687,11.7686596748379,28.3756322118576,10.647291014593,360.033864077574,393.902381090726
8,13.3163526562663,7.42852109196644,5.33936984139589,2.33575001524517,718.30777770888,723.662677747429
9,14.5267960255593,6.8256239375439,30.2920310612628,9.97924111897403,354.267489054744,381.671739862627
10,19.4091374054053,11.3253502855174,41.6962890090898,12.0732545092787,883.677006365822,909.106672479268
11,15.4585043199896,23.1601503029619,96.8059527238576,26.4319714487311,397.860509712657,407.65300949632
12,10.6134176486991,24.0361706934803,117.355208944451,25.901892035615,350.301021816994,378.332899562257
13,12.9943949012532,8.81542961686411,2.10365016282539,0.40172057377444,165.478698078608,178.282903393576
14,10.5048690493833,9.74904506093731,22.6097517671472,7.44022774134987,856.780591346956,859.417062662936
15,11.7834303981737,9.98480710390062,43.3923070516559,5.90505378341645,786.293070934102,824.349030096979
16,10.7831672516776,21.3540484890296,64.7561292230129,28.2139507786637,196.521142144654,224.485186554903
17,11.4124049243022,13.379049149277,14.5977521061633,6.74827821450381,317.991927346212,319.253150919507
18,11.6003462421648,21.8443959550915,55.4969035733333,17.720082274426,93.4609331901384,107.352781803057
19,11.0857646613079,24.1642128433477,13.2356670192069,4.25941249167136,830.071803221709,843.541948681819
20,12.4308384506043,19.9407151229325,52.3671503688912,7.80820903765488,237.124278830102,256.296867401488
21,18.1307319854874,5.27335543107436,22.756644717581,2.37863826769262,898.672322635172,902.885801348765
22,18.0631601385926,6.02542230925053,20.0030421731551,9.09840746779448,951.286882017388,977.035652164655
23,14.6003730513989,24.6280848708494,15.9950688402431,5.46275429402285,675.956414430871,685.104445792065
24,18.1425159403006,5.95762826306021,28.2621646657596,13.1542009623249,602.158958255382,635.009425222501
25,14.9039229587361,12.6666353212705,51.5592360099351,12.0920836449716,457.386030091428,479.310945173851
26,16.3691234612305,15.4900406538997,29.7108120270717,8.6321498307433,611.119731324394,629.436198775072
27,15.1170103224761,6.22587494015026,6.13079312173468,0.851536304197864,427.447441279712,450.424636012969
28,12.8279358247329,21.6983188709104,22.2847609186532,9.75652505853686,697.602028875565,717.754041225023
29,13.7889217460378,23.6789114131268,99.1279536928566,16.1235278605136,652.627987715051,690.54017854433
30,14.6032849778252,15.8324721902134,46.0310750668767,19.1033544150127,848.523152033974,887.63769424095
